Date,Open,High,Low,Close,Volume
2025-10-17 15:05:00,4288.05,4305.44,4287.66,4303.2,4921
2025-10-17 15:10:00,4303.21,4316.2,4300.51,4315.25,4708
2025-10-17 15:15:00,4315.26,4315.51,4307.92,4308.48,4774
2025-10-17 15:20:00,4308.5,4308.5,4292.89,4293.66,4902
2025-10-17 15:25:00,4293.63,4300.93,4291.83,4293.76,4638
2025-10-17 15:30:00,4293.74,4311.56,4291.22,4309.86,4370
2025-10-17 15:35:00,4309.97,4313.43,4306.76,4308.82,3994
2025-10-17 15:40:00,4308.84,4315.43,4306.44,4314.21,3478
2025-10-17 15:45:00,4314.2,4318.47,4312.78,4318.06,3128
2025-10-17 15:50:00,4318.05,4319.98,4314.0,4316.13,3896
2025-10-17 15:55:00,4315.96,4318.25,4310.55,4314.34,3775
2025-10-17 16:00:00,4314.37,4315.84,4302.05,4302.95,5842
2025-10-17 16:05:00,4303.24,4309.21,4301.46,4307.29,5040
2025-10-17 16:10:00,4307.26,4314.09,4305.64,4313.66,3161
2025-10-17 16:15:00,4313.69,4317.72,4304.02,4307.93,4259
2025-10-17 16:20:00,4308.08,4314.95,4307.41,4310.44,3704
2025-10-17 16:25:00,4310.4,4316.45,4310.14,4316.16,3154
2025-10-17 16:30:00,4316.19,4317.0,4289.7,4295.17,6588
2025-10-17 16:35:00,4295.08,4295.39,4258.84,4281.73,7927
2025-10-17 16:40:00,4281.53,4290.77,4276.78,4286.14,6665
2025-10-17 16:45:00,4286.13,4293.61,4279.16,4282.94,6428
2025-10-17 16:50:00,4282.92,4291.02,4278.17,4290.73,6144
2025-10-17 16:55:00,4290.78,4291.17,4271.99,4273.96,6232
2025-10-17 17:00:00,4273.92,4274.7,4236.49,4238.23,8276
2025-10-17 17:05:00,4238.26,4245.79,4224.2,4237.63,7753
2025-10-17 17:10:00,4237.64,4253.01,4217.12,4217.18,7528
2025-10-17 17:15:00,4217.13,4242.17,4217.13,4236.21,6809
2025-10-17 17:20:00,4236.24,4237.01,4217.04,4226.04,6398
2025-10-17 17:25:00,4226.01,4244.9,4225.6,4240.85,5293
2025-10-17 17:30:00,4240.9,4247.68,4236.21,4236.31,5515
2025-10-17 17:35:00,4236.22,4259.25,4230.89,4259.11,5808
2025-10-17 17:40:00,4259.13,4266.56,4255.06,4258.96,5733
2025-10-17 17:45:00,4259.02,4260.19,4247.38,4253.88,5357
2025-10-17 17:50:00,4253.85,4260.37,4252.87,4259.59,4344
2025-10-17 17:55:00,4259.62,4260.32,4243.91,4248.88,5583
2025-10-17 18:00:00,4248.91,4259.31,4244.97,4253.68,5342
2025-10-17 18:05:00,4253.7,4256.74,4245.29,4252.15,4581
2025-10-17 18:10:00,4252.18,4254.69,4240.17,4242.47,5396
2025-10-17 18:15:00,4242.51,4249.14,4236.95,4239.25,5052
2025-10-17 18:20:00,4239.24,4244.21,4231.06,4241.49,4943
2025-10-17 18:25:00,4241.48,4248.86,4238.98,4248.0,3887
2025-10-17 18:30:00,4248.07,4253.84,4245.35,4253.68,3364
